id,name,LAT,LON,layer,source
4,Abalos Colles,76.83,-71.65,"Collis, colles",gazeteer_of_planetary_nomenclature
5,Abalos Undae,78.52,-87.5,"Unda, undae",gazeteer_of_planetary_nomenclature
6,Aban,15.91,111.1,"Crater, craters",gazeteer_of_planetary_nomenclature
25,Abus Vallis,-5.49,-147.2,"Vallis, valles",gazeteer_of_planetary_nomenclature
31,Achar,45.43,123.16,"Crater, craters",gazeteer_of_planetary_nomenclature
34,Acheron Catena,37.47,-100.8,"Catena, catenae",gazeteer_of_planetary_nomenclature
35,Acheron Fossae,38.27,-135.02,"Fossa, fossae",gazeteer_of_planetary_nomenclature
36,Acidalia Colles,50.34,-23.09,"Collis, colles",gazeteer_of_planetary_nomenclature
37,Acidalia Mensa,46.69,-25.34,"Mensa, mensae",gazeteer_of_planetary_nomenclature
38,Acidalia Planitia,49.76,-20.74,"Planitia, planitiae",gazeteer_of_planetary_nomenclature
45,Adamas Labyrinthus,35.7,105.12,"Labyrinthus, labyrinthi",gazeteer_of_planetary_nomenclature
46,Adams,30.91,163.1,"Crater, craters",gazeteer_of_planetary_nomenclature
65,Aeolis,-4.94,145,Albedo Feature,gazeteer_of_planetary_nomenclature
66,Aeolis Mensae,-3.25,140.63,"Mensa, mensae",gazeteer_of_planetary_nomenclature
68,Aeria,9.88,50,Albedo Feature,gazeteer_of_planetary_nomenclature
69,Aesacus Dorsum,36.82,153.15,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
71,Aetheria,39.67,130,Albedo Feature,gazeteer_of_planetary_nomenclature
72,Aethiopis,9.88,130,Albedo Feature,gazeteer_of_planetary_nomenclature
79,Aganippe Fossa,-8.49,-126,"Fossa, fossae",gazeteer_of_planetary_nomenclature
81,Agassiz,-69.88,-88.89,"Crater, craters",gazeteer_of_planetary_nomenclature
114,Airy,-5.14,0.05,"Crater, craters",gazeteer_of_planetary_nomenclature
115,Airy-0,-5.07,0,"Crater, craters",gazeteer_of_planetary_nomenclature
124,Ajon,16.49,103.14,"Crater, craters",gazeteer_of_planetary_nomenclature
131,Aki,-35.46,-60.24,"Crater, craters",gazeteer_of_planetary_nomenclature
139,Aktaj,20.41,-46.49,"Crater, craters",gazeteer_of_planetary_nomenclature
151,Al-Qahira Vallis,-18.23,162.41,"Vallis, valles",gazeteer_of_planetary_nomenclature
157,Alba Catena,35.04,-114.58,"Catena, catenae",gazeteer_of_planetary_nomenclature
158,Alba Fossae,49.39,-106.82,"Fossa, fossae",gazeteer_of_planetary_nomenclature
159,Alba Patera,39.53,-109.18,"Patera, paterae",gazeteer_of_planetary_nomenclature
160,Albany,22.96,-49.02,"Crater, craters",gazeteer_of_planetary_nomenclature
164,Albi,-41.47,-35.01,"Crater, craters",gazeteer_of_planetary_nomenclature
165,Albor Fossae,18.09,150.78,"Fossa, fossae",gazeteer_of_planetary_nomenclature
166,Albor Tholus,18.87,150.47,"Tholus, tholi",gazeteer_of_planetary_nomenclature
178,Alexey Tolstoy,-47.44,125.34,"Crater, craters",gazeteer_of_planetary_nomenclature
182,Alga,-24.34,-26.68,"Crater, craters",gazeteer_of_planetary_nomenclature
189,Alitus,-34.91,-38.14,"Crater, craters",gazeteer_of_planetary_nomenclature
193,Allegheny Vallis,-9.01,-53.9,"Vallis, valles",gazeteer_of_planetary_nomenclature
205,Alpheus Colles,-39.38,61.53,"Collis, colles",gazeteer_of_planetary_nomenclature
218,Amazonis,0,-140,Albedo Feature,gazeteer_of_planetary_nomenclature
219,Amazonis Mensa,-1.98,-146.9,"Mensa, mensae",gazeteer_of_planetary_nomenclature
220,Amazonis Planitia,25.75,-162.91,"Planitia, planitiae",gazeteer_of_planetary_nomenclature
221,Amazonis Sulci,-2.15,-143.71,"Sulcus, sulci",gazeteer_of_planetary_nomenclature
226,Amenthes,4.94,110,Albedo Feature,gazeteer_of_planetary_nomenclature
227,Amenthes Fossae,9.07,102.68,"Fossa, fossae",gazeteer_of_planetary_nomenclature
228,Amenthes Planum,3.4,105.92,"Planum, plana",gazeteer_of_planetary_nomenclature
229,Amenthes Rupes,1.51,110.68,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
242,Amphitrites Patera,-58.7,60.87,"Patera, paterae",gazeteer_of_planetary_nomenclature
246,Amsterdam,23,-47,"Crater, craters",gazeteer_of_planetary_nomenclature
273,Angu,20.01,105.64,"Crater, craters",gazeteer_of_planetary_nomenclature
275,[Angusta Patera],-80.59,-79.5,"Patera, paterae",gazeteer_of_planetary_nomenclature
277,Aniak,-31.84,-69.56,"Crater, craters",gazeteer_of_planetary_nomenclature
279,Anio Valles,37.75,55.89,"Vallis, valles",gazeteer_of_planetary_nomenclature
281,Annapolis,23.16,-47.73,"Crater, craters",gazeteer_of_planetary_nomenclature
288,Anseris Mons,-29.81,86.65,"Mons, montes",gazeteer_of_planetary_nomenclature
297,Antoniadi,21.38,60.83,"Crater, craters",gazeteer_of_planetary_nomenclature
310,Aonia Planum,-57.9,-78.67,"Planum, plana",gazeteer_of_planetary_nomenclature
311,Aonia Terra,-60.2,-97.05,"Terra, terrae",gazeteer_of_planetary_nomenclature
312,Aonium Sinus,-44.66,-105,Albedo Feature,gazeteer_of_planetary_nomenclature
319,Apia,-37.28,89.02,"Crater, craters",gazeteer_of_planetary_nomenclature
323,Apollinaris Patera,-8.57,174.18,"Patera, paterae",gazeteer_of_planetary_nomenclature
324,Apollinaris Sulci,-11.06,177.47,"Sulcus, sulci",gazeteer_of_planetary_nomenclature
325,Apollinaris Tholus,-17.64,175.75,"Tholus, tholi",gazeteer_of_planetary_nomenclature
332,Apsus Vallis,34.91,134.99,"Vallis, valles",gazeteer_of_planetary_nomenclature
333,Apt,39.88,-9.47,"Crater, craters",gazeteer_of_planetary_nomenclature
335,Arabia,19.78,30,Albedo Feature,gazeteer_of_planetary_nomenclature
336,Arabia Terra,21.25,5.72,"Terra, terrae",gazeteer_of_planetary_nomenclature
338,Arago,10.22,29.93,"Crater, craters",gazeteer_of_planetary_nomenclature
339,Aram Chaos,2.52,-22.39,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
342,Arandas,42.41,-15.03,"Crater, craters",gazeteer_of_planetary_nomenclature
346,Arcadia,44.66,-100,Albedo Feature,gazeteer_of_planetary_nomenclature
347,Arcadia Dorsa,55.9,-137.56,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
348,Arcadia Planitia,47.19,-175.69,"Planitia, planitiae",gazeteer_of_planetary_nomenclature
352,Arda Valles,-20.4,-32.31,"Vallis, valles",gazeteer_of_planetary_nomenclature
356,Arena Colles,24.63,82.93,"Collis, colles",gazeteer_of_planetary_nomenclature
357,Arena Dorsum,12.71,68.94,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
358,Ares Vallis,10.29,-25.61,"Vallis, valles",gazeteer_of_planetary_nomenclature
362,Argas,23.33,-50.17,"Crater, craters",gazeteer_of_planetary_nomenclature
364,Argentea Planum,-72.49,-61.67,"Planum, plana",gazeteer_of_planetary_nomenclature
369,Argyre,-44.66,-25,Albedo Feature,gazeteer_of_planetary_nomenclature
370,Argyre Cavi,-48.31,-40.12,"Cavus, cavi",gazeteer_of_planetary_nomenclature
371,Argyre Planitia,-49.84,-43.31,"Planitia, planitiae",gazeteer_of_planetary_nomenclature
372,Argyre Rupes,-62.15,-68.75,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
375,Ariadnes Colles,-34.5,172.78,"Collis, colles",gazeteer_of_planetary_nomenclature
377,Arica,-23.8,110.24,"Crater, craters",gazeteer_of_planetary_nomenclature
378,Arimanes Rupes,-9.84,-147.7,"Rupes, rupēs",gazeteer_of_planetary_nomenclature
384,Arkhangelsky,-41.09,-24.79,"Crater, craters",gazeteer_of_planetary_nomenclature
388,Arnon,47.66,25,Albedo Feature,gazeteer_of_planetary_nomenclature
389,Arnus Vallis,13.97,70.61,"Vallis, valles",gazeteer_of_planetary_nomenclature
390,Aromatum Chaos,-1.03,-42.97,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
392,Arrhenius,-40.04,122.71,"Crater, craters",gazeteer_of_planetary_nomenclature
393,Arsia Chasmata,-7.47,-119.35,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
394,Arsia Mons,-8.26,-120.09,"Mons, montes",gazeteer_of_planetary_nomenclature
395,Arsia Sulci,-6.29,-129.81,"Sulcus, sulci",gazeteer_of_planetary_nomenclature
396,Arsinoes Chaos,-7.66,-27.92,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
397,Arta,21.38,-54.29,"Crater, craters",gazeteer_of_planetary_nomenclature
406,Artynia Catena,47.69,-119.45,"Catena, catenae",gazeteer_of_planetary_nomenclature
415,Ascraeus Chasmata,8.77,-105.63,"Chasma, chasmata",gazeteer_of_planetary_nomenclature
416,Ascraeus Mensa,11.72,-107.89,"Mensa, mensae",gazeteer_of_planetary_nomenclature
417,Ascraeus Mons,11.92,-104.08,"Mons, montes",gazeteer_of_planetary_nomenclature
418,Ascraeus Sulci,12.06,-108.75,"Sulcus, sulci",gazeteer_of_planetary_nomenclature
419,Ascuris Planum,40.59,-80.78,"Planum, plana",gazeteer_of_planetary_nomenclature
432,Asopus Vallis,-4.29,-149.61,"Vallis, valles",gazeteer_of_planetary_nomenclature
434,Aspen,-21.39,-23.15,"Crater, craters",gazeteer_of_planetary_nomenclature
436,Astapus Colles,35.46,88.08,"Collis, colles",gazeteer_of_planetary_nomenclature
453,Athabasca Valles,8.54,155.01,"Vallis, valles",gazeteer_of_planetary_nomenclature
457,Atlantis Chaos,-34.28,-177.31,"Chaos, chaoses",gazeteer_of_planetary_nomenclature
460,[Atrax Dorsum],38.19,-89,"Dorsum, dorsa",gazeteer_of_planetary_nomenclature
